species,decimalLatitude,decimalLongitude,prediction
Agriocnemis pygmaea,13.3736,77.14,7
Agriocnemis pygmaea,17.439877,78.365734,5
Agriocnemis pygmaea,18.684856,72.993111,8
Agriocnemis pygmaea,19.8168,85.86,4
Agriocnemis pygmaea,20.171579,79.335415,5
Agriocnemis pygmaea,22.0907,88.7624,4
Agriocnemis pygmaea,22.310206,87.892652,4
Agriocnemis pygmaea,22.681162,88.352081,4
Agriocnemis pygmaea,22.681163,88.352086,4
Agriocnemis pygmaea,22.681317,88.352359,4
Agriocnemis pygmaea,22.681318,88.35235,4
Agriocnemis pygmaea,22.681321,88.352364,4
Agriocnemis pygmaea,22.688497,88.321173,4
Agriocnemis pygmaea,22.708862,88.333264,4
Agriocnemis pygmaea,22.708878,88.333257,4
Agriocnemis pygmaea,22.709063,88.333332,4
Agriocnemis pygmaea,22.988771,87.010568,4
Agriocnemis pygmaea,23.019358,87.91449,4
Agriocnemis pygmaea,23.229009,77.364026,0
Agriocnemis pygmaea,23.6462,88.1214,4
Agriocnemis pygmaea,25.179964,75.828701,0
Agriocnemis pygmaea,25.1846,75.8263,0
Agriocnemis pygmaea,25.188382,75.825796,0
Agriocnemis pygmaea,25.198,75.7958,0
Agriocnemis pygmaea,25.2562,82.9826,4
Agriocnemis pygmaea,25.2711,82.9884,4
Agriocnemis pygmaea,25.3693,76.0071,0
Agriocnemis pygmaea,26.750939,89.602487,2
Agriocnemis pygmaea,28.338743,77.619216,6
Agriocnemis pygmaea,28.893198,79.605003,6
Agriocnemis pygmaea,28.915768,79.509502,6
Agrioglypta eurytusalis,25.143524,94.28334,2
Agrius convolvuli,21.544827,73.793381,8
Agrius convolvuli,24.43202,92.330688,2
Agrius convolvuli,26.567085,90.06057,2
Agrius convolvuli,26.91457,75.731865,0
Agrotera basinotata,18.540813,73.453217,8
Ahaetulla dispar,9.260285,77.072731,1
Ahaetulla dispar,10.088933,77.059525,1
Ahaetulla dispar,10.334784,77.069115,1
Ahaetulla nasuta,12.477075,75.709396,3
Ahaetulla nasuta,12.626927,80.192711,7
Ahaetulla nasuta,13.518963,75.090378,3
Ahaetulla nasuta,13.56631,75.134205,3
Ahaetulla nasuta,13.689496,75.244989,3
Ahaetulla nasuta,14.569633,74.558044,3
Ahaetulla nasuta,16.56143,73.859549,8
Ahaetulla nasuta,18.755724,73.409076,8
Ahaetulla nasuta,18.757,73.6127,8
Ahaetulla nasuta,18.988659,73.271179,8
Ahaetulla nasuta,21.110285,73.380981,8
Ahaetulla pulverulenta,13.502664,75.090315,3
Ailanthus excelsa,24.3623,73.7289,0
Ailanthus excelsa,25.2345,75.8393,0
Ailanthus excelsa,26.8402,75.8222,0
Ailanthus excelsa,26.8564,75.7996,0
Ailanthus excelsa,26.9021,75.7988,0
Ailanthus excelsa,28.533407,77.169304,6
Alangium salviifolium,8.975063,77.149441,1
Alangium salviifolium,13.437153,77.686501,7
Alangium salviifolium,25.1207,75.8921,0
Alauda gulgula,10.982778,76.735832,1
Alauda gulgula,15.606211,73.736382,3
Albizia amara,10.238113,77.489182,1
Albizia chinensis,11.896151,75.734245,1
Albizia chinensis,18.393297,73.386955,8
Albizia lebbeck,11.937542,79.83493,7
Albizia lebbeck,14.907938,77.977747,7
Albizia lebbeck,19.9886,86.1474,4
Albizia lebbeck,20.18396,85.617307,4
Albizia lebbeck,20.2087,85.4719,4
Albizia lebbeck,22.683297,88.320914,4
Albizia lebbeck,23.640378,88.129937,4
Albizia lebbeck,25.198494,75.793355,0
Albizia lebbeck,25.2368,75.8341,0
Albizia lebbeck,26.8665,75.8078,0
Albizia lebbeck,27.0607,95.0884,2
Albizia lucidior,26.144516,91.736237,2
Albizia odoratissima,15.57083,73.851044,3
Alcea rosea,28.594389,77.243826,6
Alcedo atthis,8.4493,76.9831,1
Alcedo atthis,8.895029,76.66726,1
Alcedo atthis,9.619706,76.407166,1
Alcedo atthis,10.066618,76.324554,1
Alcedo atthis,10.127599,76.686546,1
Alcedo atthis,11.408484,76.720553,1
Alcedo atthis,12.303813,77.617688,7
Alcedo atthis,14.359261,75.894785,3
Alcedo atthis,14.464409,75.921758,3
Alcedo atthis,16.68816,74.21093,8
Alcedo atthis,17.330442,78.391655,5
Alcedo atthis,18.10107,78.179665,5
Alcedo atthis,18.24234,74.79837,8
Alcedo atthis,20.548607,74.355815,8
